"label","key_value","condition_value","sort_order"
"Phacelia intermedia","PHACINTER","","534"
"Phacelia popei","PHACPOPE","","535"
"Phaseolus acutifolius","PHASACUT","","536"
"Phaseolus filiformis","PHASFILI","","537"
"Pholistoma auritum - Fiesta flower","PHOLAURI","","538"
"Phoradendron leucodarpum","PHORLEUC","","539"
"Phoradendron macrophyllum","PHORMACR","","540"
"Phoradendron sp. - Mistletoe","PHORSP.","","541"
"Phoradendron villosum","PHORVILL","","542"
"Phragmites australis","PHRAAUST","","543"
"Phyla nodiflora","PHYLNODI","","544"
"Physalis hederifolia","PHYSHEDE","","545"
"Pilostyles thurberi","PILOTHUR","","546"
"Pinaropappus parvus","PINAPARV","","547"
"Pinus coulteri - Coulter pine","PINUCOUL","","548"
"Pinus edulis","PINUEDUL","","549"
"Pinus ponderosa - Ponderosa pine","PINUPOND","","550"
"Pinus sabiniana - Gray pine","PINUSABI","","551"
"Plagiobothrys nothofulvus - Rusty popcornflower","PLAGNOTH","","552"
"Plantago erecta - Foothill plantain","PLANEREC","","553"
"Plantago patagonica","PLANPATA","","554"
"Pleuraphis mutica","PLEUMUTI","","555"
"Pleuraphis rigida","PLEURIGI","","556"
"Pluchea sericea","PLUCSERI","","557"
"Poa bigelovii","POABIGE","","558"
"Poa fendleriana","POAFEND","","559"
"Poa secunda","POASECU","","560"
"Polanisia dodecandra","POLADODE","","561"
"Polanisia uniglandulosa","POLAUNIG","","562"
"Polygonum aviculare ssp. depressum","POLYAVIC","","563"
"Polypogon monspeliensis","POLYMONS","","564"
"Pomaria jamesii","POMAJAME","","565"
"Populus deltoides","POPUDELT","","566"
"Populus trichocarpa - Black cottonwood","POPUTRIC","","567"
"Porophyllum scoparium","POROSCOP","","568"
"Portulaca halimoides","PORTHALI","","569"
"Portulaca oleracea","PORTOLER","","570"
